Question,S32NQuestionLabels.Value,Answer,Count,Answer Text
S32N.Q25,Do you feel proud of your company or battery?,3,922,"No, not proud"
S32N.Q26,Are you ever worried and upset?,3,1795,I am often worried and upset
S32N.Q27,Do you think you can make good in the Army?,3,510,Undecided
S32N.Q28,"How would you say you felt most of the time, satisfied and in good spirits or dissatisfied and in low spirits?",3,1432,Dissatisfied and in low spirits
S32N.Q29,How much longer do you think this war will last?,3,878,"Over one to less than two years, ""1944"""
S32N.Q3,How did you come into the Army?,3,40,I was in the National Guard
S32N.Q30,"If it were up to you, what kind of outfit would you rather be in?",3,5210,In an outfit that will stay in the United States
S32N.Q31,"If your outfit went overseas, would you rather have an actual fighting job or have some other job?",3,1220,Undecided
S32N.Q32,"If it were up to you to choose, do you think you could do more for your country as a soldier or as a worker in a war job?",3,555,Undecided
S32N.Q33,Do you think there will be another war in the next 25 years or so?,3,2187,Undecided
S32N.Q34,"If you think there will be another war, who do you think will be fighting whom?",3,28,"Russia with dark allies only (China, Japan, Africa, India) against any other nation or combination of nations"
S32N.Q35,"Up to now, has the war made things better or worse for your family and friends back home (such things as jobs, pay, and living conditions)?",3,991,I don't see any difference
S32N.Q36,Are you:,3,2223,Married
S32N.Q37,Were you married before or after entering the Army?,3,550,Married after entering the Army
S32N.Q38,How many children do you have?,3,1076,Have one child
S32N.Q39,Is your wife now expecting a baby?,3,1624,No
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),3,1500,Infantry
S32N.Q40,Do you think that after the war soldiers in your outfit will find it easier or harder to get jobs than they did before the war?,3,2862,Harder than before the war
S32N.Q41,Do you think that after the war the training you are getting in the Army will or will not help you to get a better job than you had before you went in the Army?,3,1235,Undecided
S32N.Q42,Do you think this war is as much your affair as it is anybody else's?,3,873,Undecided
S32N.Q42A,Why or why not?,3,213,"Yes, answer indicating things could be worse and any racialist comment (nobody wants to go back to the feudal age, we know where we stand here - nobody knows what the Axis would do)"
S32N.Q43,How do you think this war will come out?,3,184,It will end in a draw
S32N.Q44,After the war do you think that you yourself will have more rights and privileges or less rights and privileges than you had before the war?,3,2817,About the same as before the war
S32N.Q45,Do you think that one of the things the United States is fighting for is to give everybody a fair chance to make a decent living?,3,1251,Undecided
S32N.Q46,Do you think that the United States is fighting mainly for the benefit of the rich people in this country?,3,1285,Undecided
S32N.Q47,Do you think that one of the things the United States is fighting for is to protect the right of free speech for everyone?,3,1019,Undecided
S32N.Q48,"If Germany and Japan were to offer to stop fighting now and to give up the countries they have taken over, do you think we should talk peace with them or not?",3,824,Undecided
S32N.Q50,Which of these things do you think Negroes back home in civilian life should try hardest to do now?,3,2733,Try to do both at the same time
S32N.Q51,Do you think that after the war you will be treated better or worse by white people than you were before the war?,3,666,Worse
S32N.Q51A,Do you think that after the war you will be treated better or worse by white people than you were before the war: why?,3,793,"Better: a virtue will be rewarded answer (it will be because it ought to be, after whites have seen our patriotism, they will change their attitude, we are all fighting together, whites will realize the futility of their position, we are showing we are loyal, educated, etc.)"
S32N.Q52,Do you think that in the long run white civilians will be better off or worse off after the war than they were before?,3,2277,About the same
S32N.Q53,Do you think that in the long run Negro civilians will be better off or worse off after the war than they were before?,3,2447,About the same
S32N.Q54,Do you think that after the war Negroes in this country will have more rights and privileges or less rights and privileges than they had before the war?,3,2599,About the same
S32N.Q54A,Do you think that after the war Negroes in this country will have more rights and privileges or less rights and privileges than they had before the war: why?,3,1012,"More: virtue will be rewarded answer (it will be because it ought to be, after whites have seen our patriotism, they will change their attitude, we are helping to win the war so should be treated better, we are all fighting together, whites will realize the futility of their position, we are showing we are loyal, educated, etc.)"
S32N.Q55,Do you think that in the long run white soldiers will be better off or worse off after they get out of the Army than they were before they went into the Army?,3,1781,About the same
S32N.Q56,Do you think that in the long run Negro soldiers will be better off or worse off after they get out of the Army than they were before they went into the Army?,3,2328,About the same
S32N.Q57,Do you think most Negroes are doing more than their share or less than their share to help win the war?,3,189,Doing less than their share
S32N.Q58,Do you think that most Negroes are being given a fair chance to do as much as they want to do to help win the war?,3,763,Undecided
S32N.Q59,Do you think most white people are doing more than their share or less than their share to help win the war?,3,1133,Doing less than their share
S32N.Q6,What kind of a chance is the Army giving you to show what you can do?,3,573,Undecided
S32N.Q60,Do you think that Negro soldiers who are being trained as combat troops will get a chance to use their combat training against the enemy?,3,1354,Only a few will
S32N.Q61,How fair do you think the white newspapers are in reporting news about what Negroes are doing in the war?,3,3087,Usually not fair
S32N.Q62,Do you think a Negro soldier with ability has a good chance for promotion in the Army?,3,1455,Not much of a chance
S32N.Q63,"Suppose your company lieutenants were all Negro officers, would you rather have them come from the North or from the South?",3,2874,It wouldn't make any difference to me
S32N.Q64,"Suppose your company lieutenants were all white officers, but they could come either from the North or from the South, which would you rather have?",3,1126,It wouldn't make any difference to me
S32N.Q65,"Suppose your company could get its lieutenants from the North only, but they could be either white or Negro, which would you rather have?",3,2226,It wouldn't make any difference to me
S32N.Q66,"Suppose your company could get Southern officers only. If so, would you rather have white or Negro lieutenants?",3,1348,It wouldn't make any difference to me
S32N.Q67,Do you think that a Negro soldier with ability has a good chance to become a commissioned officer in the Army?,3,1101,Not much of a chance
S32N.Q68,Are the lieutenants in your company white or Negro?,3,1014,All of them are Negro
S32N.Q69,Do you think town police usually treat Negro soldiers fairly or unfairly?,3,2638,Town police are usually not fair
S32N.Q7,How do you feel about the bus service to and from camp for the soldiers in your outfit?,3,1502,It is poor
S32N.Q70,Do you think white M.P.'s usually treat Negro soldiers fairly or unfairly?,3,2461,White M.P.'s are usually not fair
S32N.Q71,Do you think Negro M.P.'s usually treat Negro soldiers fairly or unfairly?,3,768,Negro M.P.'s are usually not fair
S32N.Q72,Do you think the length of the war will make any difference in the way Negroes will be treated after the war?,3,2392,It won't make any difference how long the war lasts
S32N.Q73,Does your camp have separate PX's for Negro and white soldiers?,3,434,Don't know
S32N.Q74,Do you think it is a good idea or a poor idea for white and Negro soldiers to have separate PX's in Army camps?,3,768,Undecided
S32N.Q75,Does your camp have separate service clubs for white and Negro soldiers?,3,465,Don't know
S32N.Q76,Do you think it is a good idea or a poor idea for Negro and white soldiers to have separate service clubs in Army camps?,3,951,Undecided
S32N.Q77,Do you think white and Negro soldiers should be in separate outfits or should they be together in the same outfits?,3,1312,It doesn't make any difference
S32N.Q8,Do you think you might want to stay in the Army after the war?,3,1848,"No, I don't think I would want to"
S32N.Q9,After the war do you think you would like to come back to your old outfit for two weeks of Army training every year?,3,835,"No, I don't think I would want to"
S32N.V78,"Personal adjustment score? E. Derived from Q.20, Q.23, Q.24, Q.26, Q.27, Q.28.",3,1553,Score of 3
S32N.V79,"Score: gripe items? E. Derived from Q.6, Q.15, Q.22, Q.25, Q.62.",3,1407,
S32N.V80,"Optimism-pessimism score: E. Derived from Q.40, Q.44, Q.51, Q.53, Q.54, Q.56.",3,671,
S32N.V81,"Equality of treatment: intra-Army? E. Derived from Q.62, Q.67, Q.70.",3,1320,Score of 3
S32N.V82,"Equality of treatment: extra-Army? E. Derived from Q.58, Q.61, Q.69.",3,2014,
S32N.V83,"Officer preference types? E. Derived from Q.63, Q.64, Q.65, Q.66.",3,380,
S32N.V84,"Types of segregation: E. Derived from Q.74, Q.76, Q.77.",3,335,
S32N.V85,"Combat types, personal preference: E. Derived from Q.30, Q.31, Q.32.",3,93,"Combat outfit overseas, other job, soldier"
S32N.V86,Camp and North-South origin of men:,3,123,Tuskegee: Southern
S32N.V87,Camp identification:,3,184,"Eglin, Florida"
S32N.V88,Army General Classification Test group and type of administration of questionnaire:,3,950,AGCT V: personal interview
S32N.Q1,How old were you on your last birthday?,5,623,28 to 29 years
S32N.Q1,How old were you on your last birthday?,4,1241,25 to
S32N.Q1,How old were you on your last birthday?,6,1066,30 to 34 years
S32N.Q1,How old were you on your last birthday?,7,984,35 years or older
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",72,187,Louisiana
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",63,123,Alabama
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",71,37,Arkansas
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",64,89,Mississippi
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",59,112,Florida
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",58,163,Georgia
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",57,69,South Carolina
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",62,66,Tennessee
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",61,161,Kentucky
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",6,1,Inapplicable (Q.10 coded 1)
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",73,91,Oklahoma
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",87,1,Utah
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",0,3259,No code or no data
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",91,14,Washington
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",93,148,California
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",92,2,Oregon
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",83,5,Wyoming
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",74,192,Texas
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",84,16,Colorado
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",86,51,Arizona
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",85,1,New Mexico
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",32,59,Indiana
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",31,98,Ohio
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",33,86,Illinois
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",35,3,Wisconsin
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",34,443,Michigan
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",23,73,Pennsylvania
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",13,1,Vermont
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",11,1,Maine
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",14,99,Massachusetts
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",22,695,New Jersey
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",21,290,New York
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",41,2,Minnesota
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",53,8,District of Columbia
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",52,180,Maryland
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",54,235,Virginia
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",56,188,North Carolina
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",55,2,West Virginia
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",43,97,Missouri
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",42,6,Iowa
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",46,5,Nebraska
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",51,4,Delaware
S32N.Q11,"If you would like to go to any other Army camp in the United States, which one would you want to go to?",47,79,Kansas
S32N.Q12,"In general, where would you like best to be stationed?",4,439,Undecided
S32N.Q12,"In general, where would you like best to be stationed?",0,4,No code or no data
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,61,118,Kentucky
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,59,220,Florida
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,64,251,Mississippi
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,63,294,Alabama
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,62,166,Tennessee
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,58,221,Georgia
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,54,160,Virginia
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,53,81,District of Columbia
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,55,78,West Virginia
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,57,133,South Carolina
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,56,232,North Carolina
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,86,37,Arizona
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,85,10,New Mexico
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,91,9,Washington
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,93,158,California
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,92,3,Oregon
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,84,14,Colorado
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,72,340,Louisiana
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,71,92,Arkansas
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,73,127,Oklahoma
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,81,2,Montana
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,74,854,Texas
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,16,26,Connecticut
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,15,1,Rhode Island
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,21,730,New York
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,23,375,Pennsylvania
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,22,205,New Jersey
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,43,204,Missouri
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,47,45,Kansas
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,0,957,No code or data
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,14,30,Massachusetts
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,11,1,Maine
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,31,363,Ohio
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,46,12,Nebraska
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,42,12,Iowa
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,52,119,Maryland
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,51,29,Delaware
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,41,12,Minnesota
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,33,440,Illinois
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,32,87,Indiana
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,35,11,Wisconsin
S32N.Q13,In what state of the United States did you spend most of the past five years of your civilian life?,34,183,Michigan
S32N.Q14,Where were you living before you entered the Army?,4,1692,"In a city (between 25,000 and 100,000 people)"
S32N.Q14,Where were you living before you entered the Army?,5,2854,"In a large city (more than 100,000 people)"
S32N.Q15,Think for a minute about the different sergeants and corporals you have served with. How fair do most of them seem to be with their men?,4,195,Undecided
S32N.Q17,"If you are a private, do you want to be a noncom?",4,1869,Inapplicable (already Noncom)
S32N.Q17,"If you are a private, do you want to be a noncom?",0,1,No code or no data
S32N.Q19,When did you come into the Army?,4,1453,3/1/41 - 2/28/42; 1 year up to 2 years
S32N.Q19,When did you come into the Army?,5,525,Before 3/1/41; over 2 years
S32N.Q2,How far did you go in school?,0,2,No code or no data - 3 - AMS-032N
S32N.Q2,How far did you go in school?,9,556,Some college but did not finish
S32N.Q2,How far did you go in school?,5,781,Finished 7th grade
S32N.Q2,How far did you go in school?,7,1540,Some high school or trade school
S32N.Q2,How far did you go in school?,8,990,Graduated from high school
S32N.Q2,How far did you go in school?,10,145,Graduated from college
S32N.Q2,How far did you go in school?,6,1143,Finished 8th grade
S32N.Q2,How far did you go in school?,4,599,Finished 6th grade
S32N.Q20,How interested are you in your Army job?,0,1,No code or no data
S32N.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",7,284,Unclassified
S32N.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",6,106,Basic training
S32N.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",5,409,Combat and technical
S32N.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",4,1904,"Non-combat, semi-skilled and unskilled"
S32N.Q21,"What is your main Army job or duty? (What is your job called? For example, rifleman, orderly, stock clerk, electrician, or what?)",0,15,No code or no data
S32N.Q22,"Do the men in your company or battery cooperate, and work well together?",0,2,No code or no data
S32N.Q22,"Do the men in your company or battery cooperate, and work well together?",5,139,Undecided
S32N.Q22,"Do the men in your company or battery cooperate, and work well together?",4,320,"No, almost never do"
S32N.Q23,"In general, what sort of a time do you have in the Army?",0,1,No code or no data
S32N.Q24,Do you usually feel that what you are doing in the Army is worthwhile or not?,0,1,No code or no data
S32N.Q25,Do you feel proud of your company or battery?,4,302,Undecided
S32N.Q27,Do you think you can make good in the Army?,0,1,No code or no data
S32N.Q29,How much longer do you think this war will last?,4,969,Two years
S32N.Q29,How much longer do you think this war will last?,5,351,"Over two but less than three years, ""1945"""
S32N.Q29,How much longer do you think this war will last?,9,67,Indefinite answer indicating a long time (several years yet)
S32N.Q29,How much longer do you think this war will last?,10,132,Indefinite answer with no indication of time (will last until we stop it)
S32N.Q29,How much longer do you think this war will last?,11,1455,"Don't know, undecided"
S32N.Q29,How much longer do you think this war will last?,6,287,Three years
S32N.Q29,How much longer do you think this war will last?,8,150,Indefinite answer indicating a short time (not long)
S32N.Q29,How much longer do you think this war will last?,7,454,Over three years
S32N.Q3,How did you come into the Army?,0,6,No code or no data
S32N.Q30,"If it were up to you, what kind of outfit would you rather be in?",0,1,No code or no data
S32N.Q32,"If it were up to you to choose, do you think you could do more for your country as a soldier or as a worker in a war job?",0,1,No code or no data
S32N.Q33,Do you think there will be another war in the next 25 years or so?,0,1,No code or no data
S32N.Q34,"If you think there will be another war, who do you think will be fighting whom?",0,2,No code or no data
S32N.Q34,"If you think there will be another war, who do you think will be fighting whom?",10,167,Race war but whether U.S. or international not stated
S32N.Q34,"If you think there will be another war, who do you think will be fighting whom?",6,650,Russia with no allies against any other nation or combination of nations
S32N.Q34,"If you think there will be another war, who do you think will be fighting whom?",4,24,Russia with one or more of Axis nations besides Japan against any other nation or combination of nations
S32N.Q34,"If you think there will be another war, who do you think will be fighting whom?",11,545,Unclassifiable combinations
S32N.Q34,"If you think there will be another war, who do you think will be fighting whom?",9,184,"Russia is involved, but everything else is indeterminable"
S32N.Q34,"If you think there will be another war, who do you think will be fighting whom?",5,12,Russia with one or more allied nations besides China against any other nation or combination of nations
S32N.Q34,"If you think there will be another war, who do you think will be fighting whom?",8,532,"World War III - any line up like World Wars I and II - (same set up as last time, those defeated now fighting the winners)"
S32N.Q34,"If you think there will be another war, who do you think will be fighting whom?",7,6,Communism vs. capitalism
S32N.Q34,"If you think there will be another war, who do you think will be fighting whom?",12,4924,"No answer, don't know, inapplicable"
S32N.Q35,"Up to now, has the war made things better or worse for your family and friends back home (such things as jobs, pay, and living conditions)?",4,1649,Things are a little worse
S32N.Q35,"Up to now, has the war made things better or worse for your family and friends back home (such things as jobs, pay, and living conditions)?",5,1162,Things are a lot worse
S32N.Q35,"Up to now, has the war made things better or worse for your family and friends back home (such things as jobs, pay, and living conditions)?",6,696,Don't know
S32N.Q36,Are you:,5,402,Separated (before you went into the Army)
S32N.Q36,Are you:,4,150,Divorced
S32N.Q36,Are you:,6,115,Widowed
S32N.Q37,Were you married before or after entering the Army?,0,1,No code or no data
S32N.Q38,How many children do you have?,0,2,No code or no data
S32N.Q38,How many children do you have?,4,343,Have two children
S32N.Q38,How many children do you have?,5,203,Have three or more children
S32N.Q39,Is your wife now expecting a baby?,0,3,No code or no data
S32N.Q39,Is your wife now expecting a baby?,4,618,Don't know
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),4,600,Field Artillery
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),0,9,No code or no data - 4 - AMS-032N
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),14,93,Undesignated code
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),7,366,Ordnance Department
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),12,436,Undesignated code
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),6,690,Medical Corps
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),5,125,Signal Corps
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),11,833,Undesignated code (possibly Air Corps)
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),13,217,Undesignated code
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),8,1355,Quartermaster Corps
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),9,64,Chemical Warfare
S32N.Q4,What branch of the service are you in? (If your branch is not listed write it out.),10,293,Armored Force (Tank Corps)
S32N.Q40,Do you think that after the war soldiers in your outfit will find it easier or harder to get jobs than they did before the war?,0,1,No code or no data
S32N.Q40,Do you think that after the war soldiers in your outfit will find it easier or harder to get jobs than they did before the war?,4,1032,Undecided
S32N.Q41,Do you think that after the war the training you are getting in the Army will or will not help you to get a better job than you had before you went in the Army?,0,6,No code or no data
S32N.Q42,Do you think this war is as much your affair as it is anybody else's?,0,2,No code or no data
S32N.Q42A,Why or why not?,8,19,"No, sore at the draft (I should never have been drafted, I have flat feet)"
S32N.Q42A,Why or why not?,12,68,"Undecided, other comments"
S32N.Q42A,Why or why not?,10,265,"No, no comment"
S32N.Q42A,Why or why not?,11,145,"Undecided, racialist comments"
S32N.Q42A,Why or why not?,9,71,"No, unclassified answers"
S32N.Q42A,Why or why not?,4,264,"Yes, unclassified answer"
S32N.Q42A,Why or why not?,0,98,No code or no data
S32N.Q42A,Why or why not?,6,145,"No, political or isolationist answer and uninformed about war aims (we wouldn't be in it except for big shots in Washington, D.C., let the British fight their own war)"
S32N.Q42A,Why or why not?,7,1077,"No, racialist answer (we are 'jim-crowed, I am a Negro, the Axis attacked the white man)"
S32N.Q42A,Why or why not?,5,1336,"Yes, no comment"
S32N.Q42A,Why or why not?,13,647,"Undecided, no comment"
S32N.Q43,How do you think this war will come out?,4,187,The other side has a pretty good chance of winning
S32N.Q43,How do you think this war will come out?,5,1071,Undecided
S32N.Q43,How do you think this war will come out?,0,4,No code or no data
S32N.Q44,After the war do you think that you yourself will have more rights and privileges or less rights and privileges than you had before the war?,4,884,Undecided
S32N.Q46,Do you think that the United States is fighting mainly for the benefit of the rich people in this country?,0,4,No code or no data
S32N.Q50,Which of these things do you think Negroes back home in civilian life should try hardest to do now?,4,240,Undecided
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,22,173,"Win the war: there will be more time or a better chance to improve Negro conditions after the war, or ""things will be better"""
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,35,139,Both: a simple statement of Negro sufferings (Negroes in America do not have an equal chance)
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,11,243,"Try hardest to make things better for the Negro: this is our best, only, most opportune time, chance, etc."
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,36,115,"Both: a statement implying ""win the war first"" (war must be finished before Negro can do better)"
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,45,205,Undecided: no comment or comment merely repeats undecided
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,39,1470,Both: no comment
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,34,47,Both: it will have a good effect on Negro morale
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,0,58,No code or no data
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,31,252,"Try to do both at the same time: this is the best or only way to improve things, the opportune moment, the proper method, etc. (if we wait until after, things will be as before)"
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,32,185,Both: Negroes have a duty both to themselves and their country
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,33,24,Both: a matter of division of labor (civilians can do both; soldiers cannot)
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,55,134,No answer: no comment
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,27,1158,Win the war: no comments
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,25,64,"Win the war: a statement indicating a ""both"" position (at the same time we should try to better conditions)"
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,54,14,No answer: comment unclassifiable
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,24,100,"Win the war: Negroes can (must or will) demonstrate or earn in the war their right to better treatment, or, things will naturally be better"
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,52,10,No answer: comment implying better for Negro
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,53,15,No answer: comment implying both
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,12,46,Better for the Negro: if conditions were bettered Negroes would support the war (have improved morale)
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,13,24,Better for the Negro: ought to establish democracy at home before we try to give it to the world
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,14,42,"Better for the Negro: a matter of division of labor (soldiers will work to win the war; civilians, to make things better for the Negro)"
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,16,63,"Better for the Negro: a statement indicating acceptance of a ""both"" position (at the same time we should try to win the war)"
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,26,230,Win the war: other comments
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,18,1028,Better for the Negro: no comments
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,21,325,Try hardest to win the war first: the war is most important now
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,51,9,No answer: comment implying win the war first
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,37,180,"Both: a statement implying ""better for the Negro first"" (try to get Negroes their rights)"
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,23,216,Win the war: after the war concentrate on improving Negro conditions
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,15,316,Better for the Negro: a simple statement of Negro sufferings (Negroes have a hard time)
S32N.Q50A,Which of these things do you think Negroes back home in civilian life should try hardest to do now: further comments?,38,310,Both: other comment
